City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,kaitong,44.8135,123.15,31.1,31,26,9.89,CN,1732331584
216,recani,31.2846,-4.2688,60.57,35,0,6.15,MA,1732331585
217,inhambane,-23.865,35.3833,75.11,88,74,7.43,MZ,1732331587
218,douz,33.4663,9.0203,62.2,67,94,15.55,TN,1732331589
219,dryden,49.7833,-92.7503,28.69,93,100,8.05,CA,1732331590
220,tazovsky,67.4667,78.7,11.55,94,100,18.7,RU,1732331592
221,fortaleza,-3.7227,-38.5247,81.21,78,20,5.75,BR,1732331368
222,broken hill,-31.95,141.4333,93.72,22,100,13.78,AU,1732331594
223,juan griego,11.0817,-63.9655,80.02,88,70,8.68,VE,1732331595
224,daye,30.0833,114.95,60.53,46,49,7.56,CN,1732331596
225,santa terezinha,-29.9002,-50.0904,66.38,89,99,19.75,BR,1732331597
226,tazacorte,28.629,-17.9293,68.14,42,0,8.99,ES,1732331599
227,dzuunharaa,48.8523,106.4579,21.9,71,5,1.54,MN,1732331600
228,barra de santo antonio,-9.4047,-35.5072,76.75,80,68,14.23,BR,1732331601
229,thunder bay,48.4001,-89.3168,34.52,79,70,7.31,CA,1732331461
230,colac,-38.3333,143.5833,85.46,35,100,25.5,AU,1732331603
231,kintinku,-5.8833,35.2333,74.64,65,99,1.95,TZ,1732331605
232,warwick,41.7001,-71.4162,43.45,86,100,3.44,US,1732331450
233,ancud,-41.8697,-73.8203,53.71,95,96,10.69,CL,1732331607
234,nha trang,12.25,109.1833,82.4,71,100,10.18,VN,1732331608
235,bikenibeu village,1.3673,173.1241,87.76,66,75,12.66,KI,1732331611
236,pimentel,-6.8367,-79.9342,64.69,94,20,12.66,PE,1732331612
237,lviv,49.8383,24.0232,27.21,95,100,10.98,UA,1732331584
238,arkhangel'sk,64.5401,40.5433,33.91,69,75,13.42,RU,1732331616
239,vila franca do campo,37.7167,-25.4333,68.41,99,100,13.65,PT,1732331617
240,strezhevoy,60.7333,77.5889,17.71,92,100,11.5,RU,1732331618
241,maceio,-9.6658,-35.7353,76.44,88,20,5.75,BR,1732331619
242,ulety,51.3572,112.4849,21.96,87,100,2.08,RU,1732331621
243,kailua-kona,19.6406,-155.9956,78.76,83,100,4.61,US,1732331622
244,staraya mayna,54.6,48.95,32.11,81,100,8.95,RU,1732331623
245,akureyri,65.6835,-18.0878,28.33,80,75,1.14,IS,1732331624
246,selizharovo,56.8519,33.4487,29.68,93,100,5.84,RU,1732331625
247,miri,4.4148,114.0089,86.09,79,100,5.57,MY,1732331627
248,kpalime,6.9,0.6333,73.45,86,77,0.96,TG,1732331629
249,bahia de caraquez,-0.6,-80.4167,72.68,79,77,9.46,EC,1732331596
250,juneau,58.3019,-134.4197,26.42,100,0,11.81,US,1732331633
251,paita,-5.0892,-81.1144,65.46,85,33,11.72,PE,1732331634
252,forquilha,-3.7983,-40.2606,78.19,69,1,6.13,BR,1732331635
253,mejit,10.2753,170.8646,82.87,81,100,18.61,MH,1732331636
254,tangalle,6.024,80.7911,78.69,83,100,4.5,LK,1732331637
255,opuwo,-18.0607,13.84,73.49,42,14,2.06,NA,1732331639
256,quellon,-43.1167,-73.6167,51.42,92,99,6.42,CL,1732331640
257,souillac,-20.5167,57.5167,79.18,89,75,13.8,MU,1732331641
